Timestep,Mercury,Earth,Venus,Mars,Jupiter,Sun
1E+08,NaN,NaN,NaN,NaN,NaN,NaN
5E+07,NaN,NaN,NaN,NaN,NaN,NaN
2.5E+07,NaN,NaN,NaN,NaN,NaN,NaN
1.25E+07,NaN,NaN,NaN,NaN,NaN,NaN
6250000,NaN,NaN,NaN,NaN,NaN,NaN
3125000,74.07739,10.74382,32.42043,2.624577,0.2165599,0.0003130764
1562500,48.51408,5.361096,16.52374,1.636789,0.1298014,0.000177326
781250,30.10403,2.990288,8.186555,0.9807825,0.07617126,0.0001012856
390625,15.2685,1.666983,4.179372,0.5687906,0.04343957,5.604136E-05
195312.5,7.730333,0.9405249,2.25451,0.3280453,0.02479943,3.158773E-05
97656.25,3.975883,0.5314547,1.244912,0.1879628,0.01411907,1.748126E-05
48828.13,2.048938,0.2969223,0.6853244,0.1061073,0.007938482,9.979889E-06
24414.06,1.055639,0.1640171,0.3744547,0.0591059,0.004405603,6.105149E-06
12207.03,0.5451078,0.08991041,0.2035698,0.03267756,0.002423976,5.365684E-06
6103.516,0.281865,0.04893807,0.1101274,0.01797871,0.001321023,9.683791E-06
3051.758,0.1458067,0.02638395,0.05929064,0.009997275,0.0007111605,2.159564E-05
1525.879,0.07528779,0.01415936,0.03170107,0.005864746,0.0004038974,4.031938E-05
762.9395,0.03882118,0.00756329,0.01685522,0.003920816,0.0002537987,0.0001252729
381.4697,0.019996,0.004320536,0.008992316,0.003700981,0.0003242404,6.263406E-05
190.7349,0.01145787,0.003210355,0.00473023,0.005283036,0.0006987001,3.131643E-05
